Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
havit-kb884l-usb-rgb-backlit-mechanical-keyboard,Havit KB884L USB RGB Backlit Mechanical Keyboard,"Havit KB884L USB RGB Backlit Mechanical Keyboard Price In Bangladesh
The Havit KB884L is a compact 81-key mechanical keyboard with RGB backlighting that is designed for both gaming and everyday use. It features Outemu Blue switches, which offer a tactile and clicky typing experience, and it has several features that make it a good choice for gamers, such as anti-ghosting and N-key rollover.
Features:

81-key compact design
Outemu Blue switches
RGB backlighting with multiple lighting modes
Anti-ghosting and N-key rollover
Media keys and volume control knob
Detachable USB cable
Durable construction

The Havit KB884L is a great option for anyone looking for a compact, affordable mechanical keyboard with RGB backlighting. It is perfect for gamers and everyday users alike.",DropShop 2.0,Mechanical Keyboard,Mechanical Keyboard,,TRUE,,,,,,,,,,,deny,manual,"4,700",5875,TRUE,TRUE,,https://dropshop.com.bd/wp-content/uploads/2023/12/havit-kb884l-white-mechanical-gaming-keyboard.webp,1,,FALSE,,,,,,,,,,,,,,,,,,,,,,active
havit-kb884l-usb-rgb-backlit-mechanical-keyboard,Havit KB884L USB RGB Backlit Mechanical Keyboard,"Havit KB884L USB RGB Backlit Mechanical Keyboard Price In Bangladesh
The Havit KB884L is a compact 81-key mechanical keyboard with RGB backlighting that is designed for both gaming and everyday use. It features Outemu Blue switches, which offer a tactile and clicky typing experience, and it has several features that make it a good choice for gamers, such as anti-ghosting and N-key rollover.
Features:

81-key compact design
Outemu Blue switches
RGB backlighting with multiple lighting modes
Anti-ghosting and N-key rollover
Media keys and volume control knob
Detachable USB cable
Durable construction

The Havit KB884L is a great option for anyone looking for a compact, affordable mechanical keyboard with RGB backlighting. It is perfect for gamers and everyday users alike.",DropShop 2.0,Mechanical Keyboard,Mechanical Keyboard,,TRUE,,,,,,,,,,,deny,manual,"4,700",5875,TRUE,TRUE,,https://dropshop.com.bd/wp-content/uploads/2023/12/havit-kb884l-white-mechanical-gaming-keyboard.webp,1,,FALSE,,,,,,,,,,,,,,,,,,,,,,active
havit-g176-usb-gamepad-with-vibration,Havit G176 USB Gamepad with Vibration,"Havit G176 USB Gamepad with Vibration Price In Bangladesh
Specifications:

Support PC/input/PS3/Android
ABS shell material
Dual motor
Life of a rocker 1 million times
PS3/android automatic recognition
LED indication of channel
Size: 155*110*65mm
Weight: 207.5g
Working Voltage: 5V
Working Current: 130mA
2 vibration engines, dual vibration function",DropShop 2.0,GamePad,GamePad,,TRUE,,,,,,,,,,,deny,manual,"1,100",1375,TRUE,TRUE,,https://dropshop.com.bd/wp-content/uploads/2023/12/HAVIT-G176-GAMENOTE-DOUBLE-VIBRATION-GAME-PAD.webp,1,,FALSE,,,,,,,,,,,,,,,,,,,,,,active
havit-g176-usb-gamepad-with-vibration,Havit G176 USB Gamepad with Vibration,"Havit G176 USB Gamepad with Vibration Price In Bangladesh
Specifications:

Support PC/input/PS3/Android
ABS shell material
Dual motor
Life of a rocker 1 million times
PS3/android automatic recognition
LED indication of channel
Size: 155*110*65mm
Weight: 207.5g
Working Voltage: 5V
Working Current: 130mA
2 vibration engines, dual vibration function",DropShop 2.0,GamePad,GamePad,,TRUE,,,,,,,,,,,deny,manual,"1,100",1375,TRUE,TRUE,,https://dropshop.com.bd/wp-content/uploads/2023/12/HAVIT-G176-GAMENOTE-DOUBLE-VIBRATION-GAME-PAD.webp,1,,FALSE,,,,,,,,,,,,,,,,,,,,,,active
instant-electric-water-heater-tape-rx-001-(hot-&-cold-water-flow),Instant Electric Water Heater Tape RX-001 (Hot & Cold Water Flow),"Instant Electric Water Heater Tape RX-001 Price in Bangladesh



Key Features: 




Five seconds of electric heat



Fully automatic control



Six Safety Protection



Continuous temperature regulation



Cold and hot water



Healthy magnetic water



Fast and efficient, easy to use, adjustable water temperature 30 ° c to 60 ° c



30-60 degrees of hot water for Home or office use




Specifications: 




Water pressure: 0.04-0.5Mpa



Input rating (power): 220 V



Rated power: 3000 w



2 Pin Cord length: about 1.5 m",DropShop 2.0,Water Heater,Water Heater,,TRUE,,,,,,,,,,,deny,manual,"1,800",2250,TRUE,TRUE,,https://dropshop.com.bd/wp-content/uploads/2023/11/RX-001-Water-Heater.jpg,1,,FALSE,,,,,,,,,,,,,,,,,,,,,,active
instant-electric-water-heater-tape-rx-001-(hot-&-cold-water-flow),Instant Electric Water Heater Tape RX-001 (Hot & Cold Water Flow),"Instant Electric Water Heater Tape RX-001 Price in Bangladesh



Key Features: 




Five seconds of electric heat



Fully automatic control



Six Safety Protection



Continuous temperature regulation



Cold and hot water



Healthy magnetic water



Fast and efficient, easy to use, adjustable water temperature 30 ° c to 60 ° c



30-60 degrees of hot water for Home or office use




Specifications: 




Water pressure: 0.04-0.5Mpa



Input rating (power): 220 V



Rated power: 3000 w



2 Pin Cord length: about 1.5 m",DropShop 2.0,Water Heater,Water Heater,,TRUE,,,,,,,,,,,deny,manual,"1,800",2250,TRUE,TRUE,,https://dropshop.com.bd/wp-content/uploads/2023/11/RX-001-Water-Heater.jpg,1,,FALSE,,,,,,,,,,,,,,,,,,,,,,active
instant-electric-water-heater-tape-rx-001-(hot-&-cold-water-flow),Instant Electric Water Heater Tape RX-001 (Hot & Cold Water Flow),"Instant Electric Water Heater Tape RX-001 Price in Bangladesh



Key Features: 




Five seconds of electric heat



Fully automatic control



Six Safety Protection



Continuous temperature regulation



Cold and hot water



Healthy magnetic water



Fast and efficient, easy to use, adjustable water temperature 30 ° c to 60 ° c



30-60 degrees of hot water for Home or office use




Specifications: 




Water pressure: 0.04-0.5Mpa



Input rating (power): 220 V



Rated power: 3000 w



2 Pin Cord length: about 1.5 m",DropShop 2.0,Water Heater,Water Heater,,TRUE,,,,,,,,,,,deny,manual,"1,800",2250,TRUE,TRUE,,https://dropshop.com.bd/wp-content/uploads/2023/11/RX-001-Water-Heater.jpg,1,,FALSE,,,,,,,,,,,,,,,,,,,,,,active
h-tec-portable-instant-water-heater,H-TEC Portable Instant Water Heater,"H-TEC Portable Instant Water Heater




Power Consumption: 3000 Watt



Volt: 230 AC 30 Hz



Capacity: Unlimited



Mounting: Wall Mounting



Outer Body: ABS Shock Proof Body",DropShop 2.0,Water Heater,Water Heater,,TRUE,,,,,,,,,,,deny,manual,"2,200",2750,TRUE,TRUE,,https://dropshop.com.bd/wp-content/uploads/2023/12/H-TEC-portable-Water-Heater.webp,1,,FALSE,,,,,,,,,,,,,,,,,,,,,,active
h-tec-portable-instant-water-heater,H-TEC Portable Instant Water Heater,"H-TEC Portable Instant Water Heater




Power Consumption: 3000 Watt



Volt: 230 AC 30 Hz



Capacity: Unlimited



Mounting: Wall Mounting



Outer Body: ABS Shock Proof Body",DropShop 2.0,Water Heater,Water Heater,,TRUE,,,,,,,,,,,deny,manual,"2,200",2750,TRUE,TRUE,,https://dropshop.com.bd/wp-content/uploads/2023/12/H-TEC-portable-Water-Heater.webp,1,,FALSE,,,,,,,,,,,,,,,,,,,,,,active
fantech-nc20-rgb-laptop-cooler,Fantech NC20 RGB Laptop Cooler,"Fantech NC20 RGB Laptop Cooler




Model: NC20



10 Spectrum RGB Lighting Mode



Material: ABS Plastic



USB Port: 2×2.0



Anti Rubber Pad",DropShop 2.0,Laptop Cooler,Laptop Cooler,,TRUE,,,,,,,,,,,deny,manual,"3,600",4500,TRUE,TRUE,,https://dropshop.com.bd/wp-content/uploads/2023/11/Fantech-NC20-RGB-Laptop-Cooler.webp,1,,FALSE,,,,,,,,,,,,,,,,,,,,,,active
